keyword,volume,cpc_usd,competition,trend_12mo
"teacher observation tool",110,2.8,0.2,"90|90|140|140|140|70|110|170|170|140|90|70"
"sibme reviews",20,3.36,0.25,"10|20|40|30|30|40|10|20|20|20|10|20"
"kalpa reviews",10,0,0,"0|0|0|10|10|10|10|10|0|0|0|0"
"schoolmint reviews",10,2.67,0.19,"10|10|10|20|10|10|10|10|10|20|40|10"
"iris connect reviews",10,0,0.52,"10|10|10|10|10|10|0|10|10|10|10|10"
"frontline education competitors",10,4.09,0.43,"20|10|10|10|20|20|10|20|20|10|10|10"
"schoolmint pricing",10,0,0.43,"10|10|10|10|10|10|10|10|10|10|10|10"
"sibme pricing",10,0,0,"0|10|10|0|10|10|10|10|10|10|10|0"
"icarol pricing",10,0,0.36,"20|10|10|10|10|10|10|0|10|10|0|10"
"best professional development software for school districts",0,0,0,""
"best pd software for teachers",0,0,0,""
"best professional development platform for k12",0,0,0,""
"best school enrollment software",0,0,0,""
"best online registration software for schools",0,0,0,""
"best student registration software",0,0,0,""
"best enrollment software for charter schools",0,0,0,""
"best school choice software",0,0,0,""
"best instructional coaching software",0,0,0,""
"best coaching software for schools",0,0,0,""
"best teacher coaching platform",0,0,0,""
"best mentoring software for schools",0,0,0,""
"best teacher induction software",0,0,0,""
"best child care referral software",0,0,0,""
"best ccr&r software",0,0,0,""
"professional development software for school districts",0,0,0,""
"professional development software for k12",0,0,0,""
"professional development software for esc",0,0,0,""
"professional development software for boces",0,0,0,""
"professional development software for isd",0,0,0,""
"pd software for districts",0,0,0,""
"pd platform for districts",0,0,0,""
"school enrollment software for districts",0,0,0,""
"enrollment software for k12",0,0,0,""
"enrollment software for charter schools",0,0,0,""
"online registration software for school districts",0,0,0,""
"school registration software for districts",0,0,0,""
"instructional coaching software for districts",0,0,0,""
"coaching software for k12",0,0,0,""
"coaching platform for districts",0,0,0,""
"mentoring software for school districts",0,0,0,""
"teacher induction program software",0,0,0,""
"professional development software pricing",0,0,0,""
"school enrollment software pricing",0,0,0,""
"school registration software pricing",0,0,0,""
"instructional coaching software pricing",0,0,0,""
"enrollment management software cost",0,0,0,""
"online registration software cost",0,0,0,""
"pd management software cost",0,0,0,""
"professional development software demo",0,0,0,""
"school enrollment software demo",0,0,0,""
"school registration software demo",0,0,0,""
