keyword,volume,cpc_usd,competition
"ctle",368000,0.06,0.01
"moecs",18100,3.31,0
"moecs login",6600,0,0
"coaching tracker",2900,0.47,0.12
"scech",1900,2.2,0.03
"scechs",1900,2.2,0.03
"lvis indiana",1900,0,0
"pre k registration",1900,2.99,0.34
"texas teacher license renewal",1600,1.26,0.03
"act 48",1600,2,0.02
"act 48 hours",1300,2.13,0.06
"elis isbe login",1300,0,0
"perms act 48",1000,2,0.01
"elis isbe",1000,0,0
"safeschools training",880,1.27,0.14
"ohio teacher license renewal",720,3,0.05
"adeconnect",720,0,0
"powerschool enrollment login",720,4.91,0.01
"lpdc",590,0,0
"minnesota teacher relicensure",590,2.01,0.01
"california teacher certification renewal",480,5.05,0.01
"north carolina teacher license renewal",480,0,0
"escworks login",480,0,0
"teachboost login",480,0,0
"florida teacher certification renewal",390,1.16,0.02
"lvis indiana login",390,0,0
"ksde license renewal",390,0,0
"mentoring tracking system",390,6.88,0.17
"arkansas teacher certification renewal",320,0,0
"arkansas teacher license renewal",320,0,0
"ctle hours",320,1.5,0.24
"indiana teacher license renewal",260,0,0
"iowa teacher license renewal",260,0,0
"oklahoma teacher license renewal",260,0,0
"adeconnect login",260,0,0
"colorado teacher license renewal",210,0,0
"kansas teacher license renewal",210,0,0
"michigan teacher certification renewal",210,0,0.01
"michigan teacher license renewal",210,0,0.02
"finalsite enrollment",210,3.76,0.32
"schoolmint admin",210,0,0
"alabama teacher certification renewal",170,0,0
"utah teacher certification renewal",170,0,0
"utah teacher license renewal",170,0,0
"whetstone education",170,0,0.01
"ccr r",170,3.99,0.05
"act 48 login",140,0,0
"kentucky epsb",140,0,0
"idaho teacher certification renewal",110,0,0
"illinois teacher certification renewal",110,0,0.02
"illinois teacher license renewal",110,0,0.02
"minnesota teacher license renewal",110,0,0
"coaching log template",110,0,0.06
"north dakota teacher license renewal",90,0,0.01
"perms act 48 login",90,0,0
"isbe professional development hours",90,1.6,0.14
"plu georgia",90,0,0.02
"walkthrough app",90,14.94,0.26
"school choice lottery",90,3.71,0.07
"registration gateway",90,0,0.05
"frontline education professional growth",90,2.08,0.07
"louisiana teacher certification renewal",70,0,0
"nebraska teacher certification renewal",70,0,0.01
"how to renew teaching license in ohio",70,0,0.02
"tennessee teacher certification renewal",70,0,0
"texas teacher certification renewal",70,0,0.02
"virginia teacher certification renewal",70,0,0
"virginia teacher license renewal",70,0,0
"wisconsin teacher license renewal",70,0,0
"act 48 hours login",70,0,0
"ipdp ohio",70,0,0
"kentucky teacher certification renewal",50,0,0
"nevada teacher license renewal",50,0,0
"oregon teacher license renewal",50,0,0
"south dakota teacher certification renewal",50,0,0
"california clear credential",50,2.69,0.18
"professional development tracker",50,6.39,0.39
"online student registration",50,5.18,0.38
"enrollment management system",50,20.79,0.23
"alaska teacher certification renewal",40,0,0
"mississippi teacher license renewal",40,0,0
"teacher evaluation software",40,3.02,0.28
"kindergarten registration online",40,4.06,0.31
"kalpa professional development",40,0,0
"childcare referral service",40,0,0.31
"florida teacher license renewal",30,0,0.01
"georgia teacher certification renewal",30,0,0.01
"cpe hours texas",30,1.5,0.36
"indiana pgp points",30,0,0
"professional development log",30,0,0.1
"student registration system",30,0,0.14
"magnet lottery",30,0,0.01
"bullseye evaluation",30,0,0.03
"how to renew teaching license in indiana",20,0,0
"maryland teacher certification renewal",20,0,0.02
"massachusetts teacher certification renewal",20,0,0.04
"massachusetts teacher license renewal",20,0,0
"montana teacher license renewal",20,0,0
"new mexico teacher license renewal",20,0,0.01
"oklahoma teacher certification renewal",20,0,0
"south carolina teacher certification renewal",20,0,0
"tennessee teacher license renewal",20,0,0
"vermont teacher license renewal",20,0,0
"ctle requirements",20,0,0.05
"tea cpe",20,2.49,0.16
"virginia teacher recertification points",20,0,0.01
"pdps massachusetts",20,2.23,0.21
"instructional coaching log",20,0,0.18
"k 12 online registration",20,8.3,0.58
"schoolstatus boost",20,0,0.13
"arizona teacher certification renewal",10,0,0.01
"california teacher professional development requirements",10,0,0
"connecticut teacher certification renewal",10,0,0
"hawaii teacher license renewal",10,0,0
"illinois teacher professional development requirements",10,0,0.06
"maine teacher certification renewal",10,0,0
"michigan teaching certificate renewal requirements",10,0,0.04
"missouri teacher certification renewal",10,0,0
"nebraska teaching certificate renewal requirements",10,0,0
"new york teacher certification renewal",10,0,0
"ohio teacher certification renewal",10,0,0
"oklahoma teacher professional development requirements",10,0,0
"pennsylvania teacher certification renewal",10,0,0
"wisconsin pdp",10,0,0
"georgia plu credits",10,0,0
"tspc pdu",10,0,0
"classroom observation app",10,0,0.43
"pd tracker",10,0,0.02
"charter school lottery software",10,0,0.54
"vector solutions education",10,0,0.03
"kalpa pd",10,0,0
"sibme coaching",10,0,0.08
"alabama teacher license renewal",0,0,0
"how to renew teaching license in alabama",0,0,0
"alabama teaching certificate renewal requirements",0,0,0
"alabama teacher professional development requirements",0,0,0
"alaska teacher license renewal",0,0,0
"how to renew teaching license in alaska",0,0,0
"alaska teaching certificate renewal requirements",0,0,0
"alaska teacher professional development requirements",0,0,0
"arizona teacher license renewal",0,0,0
"how to renew teaching license in arizona",0,0,0
"arizona teaching certificate renewal requirements",0,0,0
"arizona teacher professional development requirements",0,0,0
"how to renew teaching license in arkansas",0,0,0
"arkansas teaching certificate renewal requirements",0,0,0
"arkansas teacher professional development requirements",0,0,0
"california teacher license renewal",0,0,0
"how to renew teaching license in california",0,0,0
"california teaching certificate renewal requirements",0,0,0
"colorado teacher certification renewal",0,0,0
"how to renew teaching license in colorado",0,0,0
"colorado teaching certificate renewal requirements",0,0,0
"colorado teacher professional development requirements",0,0,0
"connecticut teacher license renewal",0,0,0
"how to renew teaching license in connecticut",0,0,0
"connecticut teaching certificate renewal requirements",0,0,0
"connecticut teacher professional development requirements",0,0,0
"delaware teacher certification renewal",0,0,0
"delaware teacher license renewal",0,0,0
"how to renew teaching license in delaware",0,0,0
"delaware teaching certificate renewal requirements",0,0,0
"delaware teacher professional development requirements",0,0,0
"how to renew teaching license in florida",0,0,0
