keyword,volume,cpc_usd,competition,trend_12mo
"keyword",74000,2.86,0.02,"74000|74000|90500|60500|60500|201000|90500|60500|60500|60500|60500|60500"
"vector solutions",40500,2.23,0.01,"33100|33100|49500|40500|40500|33100|33100|40500|40500|49500|49500|49500"
"schoolmint",22200,2.43,0.04,"12100|9900|22200|27100|33100|40500|33100|27100|27100|33100|18100|14800"
"mylearningplan",14800,1.10,0,"12100|22200|27100|18100|12100|18100|14800|18100|14800|18100|14800|4400"
"kickup",14800,8.65,0,"14800|27100|22200|18100|12100|9900|18100|14800|14800|14800|14800|9900"
"schoolstatus",12100,0.06,0.02,"6600|14800|14800|12100|8100|8100|9900|9900|14800|27100|27100|8100"
"escworks",4400,0.00,0,"8100|5400|2900|3600|1900|1900|2400|2400|2900|5400|9900|6600"
"kalpa",3600,0.00,0,"2900|4400|3600|3600|3600|2900|3600|2900|3600|3600|3600|2900"
"avela",3600,2.61,0.03,"2900|2900|2400|2400|2900|4400|4400|5400|4400|4400|3600|4400"
"icarol",2900,6.00,0,"3600|3600|3600|3600|2900|2900|3600|2900|2900|2900|2900|2900"
"sibme",2400,4.24,0.02,"1600|720|880|1600|3600|3600|2900|1900|2400|2900|3600|5400"
"wonderschool",2400,3.56,0.18,"2900|2900|2400|1900|1600|2400|2400|2400|2400|2400|1900|1900"
"powerschool enrollment",1900,3.72,0.08,"4400|1600|1000|720|880|1300|1300|1600|1600|1900|1900|4400"
"teachboost",1900,0.00,0,"1600|1600|1000|1000|1300|1300|1900|3600|5400|2900|880|2400"
"edthena",1300,0.00,0,"720|880|1600|2400|2400|1300|1000|1600|1900|1600|1000|720"
"frontline professional growth",1000,0.79,0.05,"590|880|720|880|720|590|720|1000|1000|1600|2400|1900"
"bridgecare",1000,2.00,0.02,"1000|1300|1300|880|720|1000|1000|1300|1000|1000|880|1000"
"iris connect",480,0.00,0.02,"210|320|390|590|590|390|590|880|590|390|210|320"
"kindersystems",480,4.45,0.03,"480|880|480|480|480|1000|390|260|320|320|260|260"
"infinite campus online registration",260,0.00,0.01,"590|720|210|140|110|110|170|170|210|260|260|210"
"michigan teacher certification renewal",210,0.00,0.01,"210|140|110|90|90|390|170|210|260|320|260|140"
"wisdomwhere",170,3.40,0.07,"110|210|260|210|260|110|70|140|90|140|210|260"
"whetstone education",170,0.00,0.01,"90|170|390|320|260|170|140|140|90|70|50|90"
"illinois teacher certification renewal",110,0.00,0.02,"110|90|50|40|40|30|90|70|110|260|140|210"
"wisdomwhere login",70,0.00,0,"70|140|140|90|110|50|40|50|50|70|70|50"
"how to renew teaching license in ohio",70,0.00,0.02,"70|50|40|30|40|30|70|70|110|90|90|70"
